,e_enzyme,e_enzyme_composition_string,m_reaction
994,G7558-MONOMER,b3001(1),ALR2
995,EG10299-MONOMER,b0585(1),ENTERES
996,CPLX0-7533,b2215(3),TUNGStex
997,CPLX0-7530,b0241(3),TUNGStex
998,CPLX0-7534,b0929(3),TUNGStex
999,G6700-MONOMER,b1377(1),TUNGStex
1000,NANT-MONOMER,b3224(1),ACNAMt2pp
1001,CPLX0-224,b0937(2),FMNRx2
1002,SULFITE-REDUCT-CPLX,b2764(8) AND b2763(4),FMNRx2
1003,FMNREDUCT-MONOMER,b3844(1),FMNRx2
1004,DIHYDROPICRED-CPLX,b0031(4),DHDPRy
1005,EG11984-MONOMER,b2033(1),O16AT
1006,CPLX0-7533,b2215(3),DTMPtex
1007,CPLX0-7530,b0241(3),DTMPtex
1008,G6700-MONOMER,b1377(1),DTMPtex
1009,CPLX0-7534,b0929(3),DTMPtex
1010,CPLX0-7704,b0914(2),PE181abcpp
1011,CPLX0-7533,b2215(3),SO3tex
1012,CPLX0-7530,b0241(3),SO3tex
1013,G6700-MONOMER,b1377(1),SO3tex
1014,CPLX0-7534,b0929(3),SO3tex
1015,PGLYCDEHYDROG-CPLX,b2913(4),PGCD
1016,G6718-MONOMER,b1397(1),3OXCOAT
1017,CPLX-63,b1872(1) AND b1873(1),DMSOR1pp
1018,MONOMER0-341,b3821(1),PLIPA1E161pp
1019,EG12455-MONOMER,b2835(1),2AGPE161tipp
1020,CPLX0-7533,b2215(3),METDtex
1021,CPLX0-7530,b0241(3),METDtex
1022,G6700-MONOMER,b1377(1),METDtex
1023,CPLX0-7534,b0929(3),METDtex
1024,CPLX0-7533,b2215(3),TMAOtex
1025,CPLX0-7530,b0241(3),TMAOtex
1026,G6700-MONOMER,b1377(1),TMAOtex
1027,CPLX0-7534,b0929(3),TMAOtex
1028,CPLX0-7533,b2215(3),CYANtex
1029,CPLX0-7530,b0241(3),CYANtex
1030,G6700-MONOMER,b1377(1),CYANtex
1031,CPLX0-7534,b0929(3),CYANtex
1032,EG11674-MONOMER,b3059(1),APG3PAT161
1033,EG11674-MONOMER,b3059(1),APG3PAT160
1034,NUPG-MONOMER,b2964(1),CYTDt2pp
1035,NUPC-MONOMER,b2393(1),CYTDt2pp
1036,ABC-10-CPLX,b0592(1) AND b0589(1) AND b0590(1) AND b0588(2),FEENTERabcpp
1037,G6522-MONOMER,b1011(1),URACPAH
1038,UDPACYLGLCNACDEACETYL-MONOMER,b0096(1),UHGADA
1039,CPLX0-1622,b1489(2),PDE4
1040,CPLX0-1622,b1489(2),PDE1
1041,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),O16A4COLIPAabctex
1042,CMPKI-MONOMER,b0910(1),CYTK1
1043,CMPKI-MONOMER,b0910(1),CYTK2
1044,L-LACTDEHYDROGFMN-MONOMER,b3605(1),L_DASH_LACD2
1045,G6176-MONOMER_G6177-MONOMER_G6178-MONOMER,b0307() AND b0306() AND b0308(),L_DASH_LACD2
1046,L-LACTDEHYDROGFMN-MONOMER,b3605(1),L_DASH_LACD3
1047,G6176-MONOMER_G6177-MONOMER_G6178-MONOMER,b0307() AND b0306() AND b0308(),L_DASH_LACD3
1048,CPLX0-7533,b2215(3),PHEtex
1049,CPLX0-7530,b0241(3),PHEtex
1050,G6700-MONOMER,b1377(1),PHEtex
1051,CPLX0-7534,b0929(3),PHEtex
1052,CPLX0-7533,b2215(3),IMPtex
1053,CPLX0-7530,b0241(3),IMPtex
1054,G6700-MONOMER,b1377(1),IMPtex
1055,CPLX0-7534,b0929(3),IMPtex
1056,EG11424-MONOMER,b3622(1),ECA4OALpp
1057,G7090-MONOMER_EG11982-MONOMER,b2027() AND b2035(),O16AP2pp
1058,EG10456-MONOMER,b2552(1),NODOy
1059,EG12455-MONOMER,b2835(1),2AGPE160tipp
1060,KDO-8PSYNTH-CPLX,b1215(4),KDOPS
1061,GLTS-MONOMER,b3653(1),GLUt4pp
1062,SDAC-MONOMER,b2796(1),SERt2rpp
1063,TDCC-MONOMER,b3116(1),SERt2rpp
1064,DCTP-DEAM-CPLX,b2065(3),DCTPD
1065,EG11167-MONOMER,b3040(1),ZN2tpp
1066,CARDIOLIPSYN-MONOMER,b1249(1),CLPNS140pp
1067,G6406-MONOMER,b0789(1),CLPNS140pp
1068,ABC-34-CPLX,b3452(1) AND b3453(1) AND b3451(1) AND b3450(2),GLYC2Pabcpp
1069,CPLX0-3881,b2052(2),GDMANE
1070,YHHO-MONOMER,b3469(1),CD2abcpp
1071,Eno_dim,b2779(2),ENO
1072,G6862-MONOMER,b1606(1),DHMPTR
1073,EG12455-MONOMER,b2835(1),2AGPG160tipp
1074,CPLX0-7535,b4115(2),ARGAGMt7pp
1075,FMNREDUCT-MONOMER,b3844(1),FADRx
1076,CPLX0-7533,b2215(3),MSO3tex
1077,CPLX0-7530,b0241(3),MSO3tex
1078,G6700-MONOMER,b1377(1),MSO3tex
1079,CPLX0-7534,b0929(3),MSO3tex
1080,CPLX0-7717,b3396(2),MCTP1App
1081,CPLX0-3951,b0149(2),MCTP1App
1082,EG10606-MONOMER,b0635(1),MCTP1App
1083,EG10341-MONOMER,b0084(1),MCTP1App
1084,CPLX0-7533,b2215(3),MALtex
1085,CPLX0-7530,b0241(3),MALtex
1086,G6700-MONOMER,b1377(1),MALtex
1087,CPLX0-7534,b0929(3),MALtex
1088,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD6f
1089,EG10153-MONOMER,b0827(1),MOCOS
1090,CPLX0-225,b0935(4),FDMO4
1091,MANNONDEHYDRAT-MONOMER,b4322(1),MNNH
1092,GLUTSEMIALDEHYDROG-CPLX,b0243(4),G5SD
1093,FUMARASE-B,b4122(2),DTARTD
1094,EG10626-MONOMER,b0099(1),DNTPPA
1095,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,b1865(1),DNTPPA
1096,CPLX0-7660,b0222(4),S7PI
1097,XYLE-MONOMER,b4031(1),XYLt2pp
1098,EG12267-MONOMER,b3546(1),PETNT161pp
1099,RIBULOKIN-CPLX,b0063(2),RBK_L1
1100,SORB6PDEHYDROG-CPLX,b2705(4),SBTPD
1101,LDC2-CPLX,b0186(10),LYSDC
1102,LYSDECARBOX-CPLX,b4131(10),LYSDC
1103,ADENYLATECYC-MONOMER,b3806(1),ADNCYC
1104,CPLX0-7906,b0040(3),CRNt7pp
1105,CPLX0-7533,b2215(3),GALCTNLtex
1106,CPLX0-7534,b0929(3),GALCTNLtex
1107,CPLX0-7530,b0241(3),GALCTNLtex
1108,G6700-MONOMER,b1377(1),GALCTNLtex
1109,EG12310-MONOMER,b2523(1),AMPTASECG
1110,EG10696-MONOMER,b0932(1),AMPTASECG
1111,CPLX0-3001,b0237(2),AMPTASECG
1112,CPLX0-3061,b4260(6),AMPTASECG
1113,PYRUVATEDEH-CPLX,b0114(24) AND b0115(24) AND b0116(12),PDH
1114,CPLX0-7533,b2215(3),ALLtex
1115,CPLX0-7530,b0241(3),ALLtex
1116,G6700-MONOMER,b1377(1),ALLtex
1117,CPLX0-7534,b0929(3),ALLtex
1118,UHPT-MONOMER,b3666(1),GAM6Pt6_2pp
1119,GLUC1PURIDYLTRANS-MONOMER,b1236(1),GALUi
1120,CPLX0-7533,b2215(3),PYRtex
1121,CPLX0-7530,b0241(3),PYRtex
1122,G6700-MONOMER,b1377(1),PYRtex
1123,CPLX0-7534,b0929(3),PYRtex
1124,CORA-MONOMER,b3816(1),NI2tpp
1125,CPLX0-7533,b2215(3),ARBTtex
1126,CPLX0-7530,b0241(3),ARBTtex
1127,CPLX0-7534,b0929(3),ARBTtex
1128,G6700-MONOMER,b1377(1),ARBTtex
1129,GLYOHMETRANS-CPLX,b2551(2),THRA2i
1130,LTAA-CPLX,b0870(4),THRA2i
1131,UDK-MONOMER,b2066(1),URIK2
1132,CPLX0-7630,b0494(4),LPLIPAL1G180pp
1133,G7090-MONOMER_EG11982-MONOMER,b2027() AND b2035(),O16AP3pp
1134,NADH-DHI-CPLX,b2288(1) AND b2283() AND b2284() AND b2277() AND b2280() AND b2285() AND b2279() AND b2281() AND b2286() AND b2278() AND b2282() AND b2276() AND b2287(),NADH17pp
1135,URACIL-PRIBOSYLTRANS-CPLX,b2498(3),UPPRT
1136,PGPPHOSPHAB-MONOMER,b1278(1),PGPP120
1137,PGPPHOSPHAA-MONOMER,b0418(1),PGPP120
1138,G7167-MONOMER,b2254(1),UPLA4FNT
1139,G6502-MONOMER,b0968(1),APH180
1140,G6502-MONOMER,b0968(1),APH181
1141,CPDB-MONOMER,b4213(1),23PDE2pp
1142,G7169-MONOMER,b2256(1),UPLA4FNF
1143,EG10124-MONOMER,b3551(1),BSORy
1144,EG10124-MONOMER,b3551(1),BSORx
1145,CPLX0-1142,b2374(2),FORCT
1146,G6521-MONOMER,b1010(1),POAACR
1147,MONOMER0-341,b3821(1),PLIPA1A120pp
1148,G6502-MONOMER,b0968(1),APH160
1149,G6502-MONOMER,b0968(1),APH161
1150,CPLX0-7533,b2215(3),BUTtex
1151,CPLX0-7530,b0241(3),BUTtex
1152,G6700-MONOMER,b1377(1),BUTtex
1153,CPLX0-7534,b0929(3),BUTtex
1154,CPLX0-7533,b2215(3),HG2tex
1155,CPLX0-7530,b0241(3),HG2tex
1156,G6700-MONOMER,b1377(1),HG2tex
1157,CPLX0-7534,b0929(3),HG2tex
1158,CPLX0-7533,b2215(3),MOBDtex
1159,CPLX0-7530,b0241(3),MOBDtex
1160,G6700-MONOMER,b1377(1),MOBDtex
1161,CPLX0-7534,b0929(3),MOBDtex
1162,EG10739-MONOMER,b3825(1),LPLIPAL2E120
1163,THIOESTERII-CPLX,b0452(4),FACOAE120
1164,CPLX0-7533,b2215(3),XMPtex
1165,CPLX0-7530,b0241(3),XMPtex
1166,G6700-MONOMER,b1377(1),XMPtex
1167,CPLX0-7534,b0929(3),XMPtex
1168,G7945-MONOMER,b4358(1),GALCTLO
1169,ACS-MONOMER,b4069(1),ACCOAL
1170,CITLY-CPLX,b0616(6) AND b0617(6) AND b0615(6),CITL
1171,CPLX0-7843,b0904(5),FORtppi
1172,FOCB-MONOMER,b2492(1),FORtppi
1173,ACETYL-COA-CARBOXYLMULTI-CPLX,b3255(2) AND b2316(2) AND b0185(2) AND b3256(2),ACCOAC
1174,NICONUCADENYLYLTRAN-MONOMER,b0639(1),NMNAT
1175,PD04413,b4390(1),NMNAT
1176,2OXOGLUTARATEDEH-CPLX,b0726(12) AND b0116(2) AND b0727(24),AKGDH
1177,ADENODEAMIN-MONOMER,b1623(1),ADA
1178,EG13236-MONOMER,b0732(1),MANPGH
1179,CPLX0-3201,b2328(2),MDDEP2pp
1180,EG10202-MONOMER,b3182(1),MDDEP2pp
1181,EG12015-MONOMER,b2134(1),MDDEP2pp
1182,TYRP-MONOMER,b1907(1),TYRt2rpp
1183,AROP-MONOMER,b0112(1),TYRt2rpp
1184,PHEP-MONOMER,b0576(1),TYRt2rpp
1185,EG12713-MONOMER,b1473(1),TYRt2rpp
1186,NADH-DHI-CPLX,b2288(1) AND b2283() AND b2284() AND b2277() AND b2280() AND b2285() AND b2279() AND b2281() AND b2286() AND b2278() AND b2282() AND b2276() AND b2287(),NADH18pp
1187,UPPSYN-CPLX,b0174(2),UDCPDPS
1188,CPLX0-7533,b2215(3),MMETtex
1189,CPLX0-7530,b0241(3),MMETtex
1190,G6700-MONOMER,b1377(1),MMETtex
1191,CPLX0-7534,b0929(3),MMETtex
1192,G7146-MONOMER,b2174(1),COLIPAKpp
1193,HOMOSERKIN-CPLX,b0003(2),HSK
1194,RHAT-MONOMER,b3907(1),RMNtpp
1195,EG10983-MONOMER,b2533(1),G2PP
1196,SPOT-MONOMER,b3650(1),PPGPPDP
1197,CYCA-MONOMER,b4208(1),ALAt2pp
1198,TRYPSYN,b1260(2) AND b1261(2),TRPS2
1199,CPLX0-7426,b3187(2),OCTDPS
1200,CPLX0-1581,b0622(2),LIPAHT2ex
1201,CPLX0-7655,b4036(3),MALTPTtexi
1202,GLYCPDIESTER-PERI-CPLX,b2239(2),GPDDA2pp
1203,EG11983-MONOMER,b2034(1),O16GALFT
1204,TPI,b3919(2),TPI
1205,PRAI-IGPS,b1262(1),PRAIi
1206,YJCG-MONOMER,b4067(1),GLYCLTt4pp
1207,FRUCBISALD-CLASSII,b2925(2),FBA3
1208,EG10201-MONOMER,b0632(1),MDDCP1pp
1209,EG10202-MONOMER,b3182(1),MDDCP1pp
1210,EG10203-MONOMER,b0839(1),MDDCP1pp
1211,RPOA-MONOMER,b2010(1),MDDCP1pp
1212,CPLX0-1669,b1701(2),FACOAL60t2pp
1213,ACYLCOASYN-CPLX,b1805(2),FACOAL60t2pp
1214,CPLX0-7718,b2255(6),ULA4NFT
1215,G7166-MONOMER,b2253(1),UDPKAAT
1216,CPLX0-7520,b0340(10),CYNTAH
1217,G6358-MONOMER,b0651(1),CYTDH
1218,CPLX0-7904,b2162(4),CYTDH
1219,EG11082-MONOMER,b0030(1),CYTDH
1220,CPLX0-7533,b2215(3),TRPtex
1221,CPLX0-7530,b0241(3),TRPtex
1222,G6700-MONOMER,b1377(1),TRPtex
1223,CPLX0-7534,b0929(3),TRPtex
1224,NUPG-MONOMER,b2964(1),DCYTt2pp
1225,NUPC-MONOMER,b2393(1),DCYTt2pp
1226,GALACTARDEHYDRA-MONOMER,b3128(1),GALCTD
1227,EG11167-MONOMER,b3040(1),CU2tpp
1228,PGPPHOSPHAB-MONOMER,b1278(1),PAPA140
1229,PGPPHOSPHAB-MONOMER,b1278(1),PAPA141
1230,CPLX0-7533,b2215(3),5DGLCNtex
1231,CPLX0-7530,b0241(3),5DGLCNtex
1232,G6700-MONOMER,b1377(1),5DGLCNtex
1233,CPLX0-7534,b0929(3),5DGLCNtex
1234,CPLX0-7533,b2215(3),ALLTNtex
1235,CPLX0-7530,b0241(3),ALLTNtex
1236,G6700-MONOMER,b1377(1),ALLTNtex
1237,CPLX0-7534,b0929(3),ALLTNtex
1238,CPLX0-7533,b2215(3),G3PCtex
1239,CPLX0-7530,b0241(3),G3PCtex
1240,G6700-MONOMER,b1377(1),G3PCtex
1241,CPLX0-7534,b0929(3),G3PCtex
1242,MGTA-MONOMER,b4242(1),NI2uabcpp
1243,ABC-20-CPLX,b3476(1) AND b3477(1) AND b3478(1) AND b3479(1) AND b3480(1),NI2uabcpp
1244,CPLX0-7533,b2215(3),CYStex
1245,CPLX0-7530,b0241(3),CYStex
1246,G6700-MONOMER,b1377(1),CYStex
1247,CPLX0-7534,b0929(3),CYStex
1248,CPLX0-3141,b3029(2),QMO2
1249,PGPPHOSPHAB-MONOMER,b1278(1),PAPA120pp
1250,EG11829-MONOMER,b3857(1),MOGDS
1251,EG11829-MONOMER_EG11828-MONOMER,b3856() AND b3857(),MOGDS
1252,EG10943-MONOMER,b1764(1),SELNPS
1253,ANTHRANSYNCOMPII-MONOMER,b1263(1),ANPRT
1254,PSD-MONOMER,b4160(1),PSD180
1255,PSD-MONOMER,b4160(1),PSD181
1256,CPLX0-7533,b2215(3),FORtex
1257,CPLX0-7530,b0241(3),FORtex
1258,G6700-MONOMER,b1377(1),FORtex
1259,CPLX0-7534,b0929(3),FORtex
1260,ARGDECARBOXBIO-CPLX,b2938(4),ARGDCpp
1261,DIACYLGLYKIN-CPLX,b4042(3),DAGK120
1262,CODB-MONOMER,b0336(1),CSNt2pp
1263,DCTA-MONOMER,b3528(1),SUCCt2_2pp
1264,APHA-CPLX,b4055(4),NTD5pp
1265,USHA-MONOMER,b0480(1),NTD5pp
1266,PGPPHOSPHAB-MONOMER,b1278(1),PAPA160pp
1267,GLYOHMETRANS-CPLX,b2551(2),THRAi
1268,LTAA-CPLX,b0870(4),THRAi
1269,GART-MONOMER,b2500(1),GARFT
1270,G6425-MONOMER,b0822(1),G3PT
1271,CPLX0-7533,b2215(3),GLYCAtex
1272,CPLX0-7530,b0241(3),GLYCAtex
1273,G6700-MONOMER,b1377(1),GLYCAtex
1274,CPLX0-7534,b0929(3),GLYCAtex
1275,COBU-CPLX,b1993(2),ADOCBIK
1276,ABC-16-CPLX,b4034(1) AND b4035(2) AND b4033(1) AND b4032(1),MALTHXabcpp
1277,ALDHDEHYDROG-MONOMER,b1300(1),GGGABADr
1278,EG12455-MONOMER,b2835(1),2AGPG161tipp
1279,CPLX0-7533,b2215(3),TARTRDtex
1280,CPLX0-7530,b0241(3),TARTRDtex
1281,CPLX0-7534,b0929(3),TARTRDtex
1282,G6700-MONOMER,b1377(1),TARTRDtex
1283,SPOT-MONOMER,b3650(1),GDPDPK
1284,RELA-MONOMER,b2784(1),GDPDPK
1285,MALDEXPHOSPHORYL-CPLX,b3417(2),GLCP
1286,GLYCOPHOSPHORYL-CPLX,b3428(2),GLCP
1287,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,b4477(1),DDPGALA
1288,ABC-2-CPLX,b1900(2) AND b1901(1) AND b4460(2),ARBabcpp
1289,MONOMER0-341,b3821(1),PLIPA2G141pp
1290,CPLX0-7533,b2215(3),G3PEtex
1291,G6700-MONOMER,b1377(1),G3PEtex
1292,CPLX0-7530,b0241(3),G3PEtex
1293,CPLX0-7534,b0929(3),G3PEtex
1294,CPLX0-7630,b0494(4),LPLIPAL1A161pp
1295,CPLX0-3141,b3029(2),QMO3
1296,CPLX0-1669,b1701(2),FACOAL161t2pp
1297,ACYLCOASYN-CPLX,b1805(2),FACOAL161t2pp
1298,UDPMANNACADEHYDROG-MONOMER,b3787(1),UACMAMO
1299,CPLX0-7533,b2215(3),ASO3tex
1300,CPLX0-7530,b0241(3),ASO3tex
1301,G6700-MONOMER,b1377(1),ASO3tex
1302,CPLX0-7534,b0929(3),ASO3tex
1303,EG11082-MONOMER,b0030(1),INSH
1304,MONOMER0-341,b3821(1),PLIPA2A120pp
1305,CPLX0-322,b0477(2),INSK
1306,EG10119-MONOMER,b0777(1),MALCOAMT
1307,NANE-MONOMER,b3223(1),AMANAPEr
1308,6PGLUCONDEHYDROG-CPLX,b2029(2),GND
1309,GLUCONOKINII-CPLX,b3437(3),GNK
1310,GLUCONOKINI-MONOMER,b4268(1),GNK
1311,NADH-DHII-MONOMER,b1109(1),NADH10
1312,YJGT-MONOMER,b4265(1),GLCNt2rpp
1313,GNTU-MONOMER,b4476(1),GLCNt2rpp
1314,GNTT-MONOMER,b3415(1),GLCNt2rpp
1315,GNTP-MONOMER,b4321(1),GLCNt2rpp
1316,ABC-3-CPLX,b2308(1) AND b2310(1) AND b2307(1) AND b2306(2),LYSabcpp
1317,CARDIOLIPSYN-MONOMER,b1249(1),CLPNS180pp
1318,G6406-MONOMER,b0789(1),CLPNS180pp
1319,MONOMER0-341,b3821(1),PLIPA2A161pp
1320,CPLX0-7533,b2215(3),CA2tex
1321,CPLX0-7530,b0241(3),CA2tex
1322,G6700-MONOMER,b1377(1),CA2tex
1323,CPLX0-7534,b0929(3),CA2tex
1324,CPLX0-7533,b2215(3),QUIN2tex
1325,CPLX0-7530,b0241(3),QUIN2tex
1326,CPLX0-7534,b0929(3),QUIN2tex
1327,G6700-MONOMER,b1377(1),QUIN2tex
1328,MONOMER0-341,b3821(1),PLIPA2E140pp
1329,PDXH-CPLX,b1638(2),PYAM5PO
1330,ABC-304-CPLX,b3458(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1),LEUabcpp
1331,ABC-15-CPLX,b3460(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1),LEUabcpp
1332,ABC-7-CPLX,b2422(2) AND b2423(1) AND b2424(1) AND b2425(1),SELtpp
1333,G6782-MONOMER,b1488(1),ALAALAD
1334,ADENYL-KIN-MONOMER,b0474(1),DADK
1335,EG12455-MONOMER,b2835(1),2AGPE140tipp
1336,EG10739-MONOMER,b3825(1),LPLIPAL2ATG141
1337,EG10739-MONOMER,b3825(1),LPLIPAL2ATG140
1338,ADENODEAMIN-MONOMER,b1623(1),DADA
1339,DALADALALIGA-MONOMER,b0381(1),ALAALAr
1340,DALADALALIGB-CPLX,b0092(2),ALAALAr
1341,PHOSPHASERSYN-CPLX,b2585(),PSSA141
1342,PHOSPHASERSYN-CPLX,b2585(),PSSA140
1343,AAS-MONOMER,b2836(1),2AGPEAT120
1344,CPLX0-7704,b0914(2),PA180abcpp
1345,EG12455-MONOMER,b2835(1),2AGPA140tipp
1346,DCTA-MONOMER,b3528(1),MALt2_2pp
1347,CPLX0-7826,b2954(2),NTPP10
1348,ABC-40-CPLX,b2128(1) AND b2130(1) AND b2131(1) AND b2129(2),GLYBabcpp
1349,ACETOACETYL-COA-TRANSFER-CPLX,b2222(2) AND b2221(2),HXCT
1350,EG10739-MONOMER,b3825(1),LPLIPAL2A140
1351,EG10739-MONOMER,b3825(1),LPLIPAL2A141
1352,G7446-MONOMER,b2788(1),GLCRD
1353,GLUCARDEHYDRA-MONOMER,b2787(1),GLCRD
1354,USHA-MONOMER,b0480(1),UGLCURPpp
1355,CPLX-64,b0512(4),ALLTN
1356,CDPDIGLYSYN-MONOMER,b0175(1),DASYN180
1357,CDPDIGLYSYN-MONOMER,b0175(1),DASYN181
1358,CPLX0-7704,b0914(2),PG141abcpp
1359,YGJU-MONOMER,b3089(1),SERt4pp
1360,APHA-CPLX,b4055(4),NTD4pp
1361,USHA-MONOMER,b0480(1),NTD4pp
1362,MHPCHYDROL-MONOMER,b0349(1),HKNDDH
1363,AROP-MONOMER,b0112(1),TRPt2rpp
1364,EG12713-MONOMER,b1473(1),TRPt2rpp
1365,MTR-MONOMER,b3161(1),TRPt2rpp
1366,TNAB-MONOMER,b3709(1),TRPt2rpp
1367,CPLX0-7533,b2215(3),PNTOtex
1368,CPLX0-7530,b0241(3),PNTOtex
1369,G6700-MONOMER,b1377(1),PNTOtex
1370,CPLX0-7534,b0929(3),PNTOtex
1371,CPLX0-7848,b4192(6),ASCBPL
1372,APHA-CPLX,b4055(4),PSP_Lpp
1373,EIISGA,b2415(1) AND b2416(2) AND b4193(2) AND b4194(1) AND b4195(1),ASCBptspp
1374,PGPPHOSPHAB-MONOMER,b1278(1),PGPP161
1375,PGPPHOSPHAA-MONOMER,b0418(1),PGPP161
1376,PGPPHOSPHAB-MONOMER,b1278(1),PGPP160
1377,PGPPHOSPHAA-MONOMER,b0418(1),PGPP160
1378,CPLX0-7704,b0914(2),PG120abcpp
1379,CPLX0-7533,b2215(3),ETOHtex
1380,CPLX0-7530,b0241(3),ETOHtex
1381,G6700-MONOMER,b1377(1),ETOHtex
1382,CPLX0-7534,b0929(3),ETOHtex
1383,CPLX0-7533,b2215(3),MG2tex
1384,CPLX0-7530,b0241(3),MG2tex
1385,G6700-MONOMER,b1377(1),MG2tex
1386,CPLX0-7534,b0929(3),MG2tex
1387,CDPDIGLYSYN-MONOMER,b0175(1),DASYN160
1388,CDPDIGLYSYN-MONOMER,b0175(1),DASYN161
1389,G7458-MONOMER,b2817(1),AGM3PApp
1390,NACMURLALAAMI1-MONOMER,b2435(1),AGM3PApp
1391,NACMURLALAAMI2-MONOMER,b4169(1),AGM3PApp
1392,XAPB-MONOMER,b2406(1),XTSNt2rpp
1393,MONOMER0-341,b3821(1),PLIPA2G140pp
1394,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,b3572(1),VPAMTr
1395,CPLX0-7655,b4036(3),MALTTRtexi
1396,AROA-MONOMER,b0908(1),PSCVT
1397,GDPMANDEHYDRA-CPLX,b2053(2),GMAND
1398,EG11239-MONOMER,b0766(1),PDXPP
1399,YJIZ-MONOMER,b4356(1),GALCTNLt2pp
1400,EG12455-MONOMER,b2835(1),2AGPA160tipp
1401,CPLX0-7704,b0914(2),K2L4Aabcpp
1402,EG10144-MONOMER,b1734(1),DC6PH
1403,ABC-40-CPLX,b2128(1) AND b2130(1) AND b2131(1) AND b2129(2),CHLabcpp
1404,GLPT-MONOMER,b2240(1),GLYC3Pt6pp
1405,CPLX0-7533,b2215(3),SPMDtex
1406,CPLX0-7530,b0241(3),SPMDtex
1407,G6700-MONOMER,b1377(1),SPMDtex
1408,CPLX0-7534,b0929(3),SPMDtex
1409,PHOSPHASERSYN-CPLX,b2585(),PSSA161
1410,CPLX0-7533,b2215(3),HPPPNtex
1411,G6700-MONOMER,b1377(1),HPPPNtex
1412,CPLX0-7530,b0241(3),HPPPNtex
1413,CPLX0-7534,b0929(3),HPPPNtex
1414,CPLX0-7533,b2215(3),GDPtex
1415,CPLX0-7534,b0929(3),GDPtex
1416,CPLX0-7530,b0241(3),GDPtex
1417,G6700-MONOMER,b1377(1),GDPtex
1418,CPLX0-1669,b1701(2),FACOAL180t2pp
1419,ACYLCOASYN-CPLX,b1805(2),FACOAL180t2pp
1420,EG10739-MONOMER,b3825(1),LPLIPAL2ATE140
1421,TRANS-CPLX-201,b0462() AND b0463() AND b3035(),RFAMPtpp
1422,CPLX0-3932,b0463() AND b2470() AND b3035(),RFAMPtpp
1423,PKI-COMPLEX,b1676(4),PYK
1424,PKII-CPLX,b1854(4),PYK
1425,CARDIOLIPSYN-MONOMER,b1249(1),CLPNS181pp
1426,G6406-MONOMER,b0789(1),CLPNS181pp
1427,G7170-MONOMER,b2257(1),LA4NTpp
1428,CHD-MONOMER,b0311(1),CHOLD
1429,MONOMER0-341,b3821(1),PLIPA2A160pp
1430,G6621-MONOMER,b1192(1),AM4PCP
1431,CPLX-165,b2415(1) AND b1818(2) AND b2416(2) AND b1817(1) AND b1819(1),FRUpts2pp
1432,ABC-56-CPLX,b0934(2) AND b0933(2) AND b0936(),BUTSO3abcpp
1433,ABC-64-CPLX,b0365(1) AND b0366(2) AND b0367(2),BUTSO3abcpp
1434,EG10780-MONOMER,b1308(1),CYANSTpp
1435,EG11674-MONOMER,b3059(1),APG3PAT141
1436,EG11674-MONOMER,b3059(1),APG3PAT140
1437,NADH-DHII-MONOMER,b1109(1),NADH5
1438,NADH-DHII-MONOMER,b1109(1),NADH9
1439,CHORISMUTPREPHENDEHYDROG-CPLX,b2600(2),CHORM
1440,CHORISMUTPREPHENDEHYDRAT-CPLX,b2599(2),CHORM
1441,CPLX0-7533,b2215(3),BALAtex
1442,CPLX0-7530,b0241(3),BALAtex
1443,G6700-MONOMER,b1377(1),BALAtex
1444,CPLX0-7534,b0929(3),BALAtex
1445,MONOMER0-341,b3821(1),PLIPA1E120pp
1446,AROC-CPLX,b2329(4),CHORS
1447,CPLX0-7533,b2215(3),FRULYStex
1448,CPLX0-7530,b0241(3),FRULYStex
1449,G6700-MONOMER,b1377(1),FRULYStex
1450,CPLX0-7534,b0929(3),FRULYStex
1451,CPLX0-7717,b3396(2),MCTP1Bpp
1452,CPLX0-3951,b0149(2),MCTP1Bpp
1453,CARBODEHYDRAT-CPLX,b0339(2),HCO3E
1454,CPLX0-7521,b0126(4),HCO3E
1455,LYXK-CPLX,b3580(2),XYLK2
1456,RIBULOKIN-CPLX,b0063(2),XYLK2
1457,PTSI-MONOMER,b2416(1),CHTBSptspp
1458,EG12455-MONOMER,b2835(1),2AGPE180tipp
1459,EG10041-MONOMER,b0110(1),AM4PA
1460,NANK-MONOMER,b3222(1),AMANK
1461,CPDB-MONOMER,b4213(1),3NTD7pp
1462,CPLX0-7533,b2215(3),TARTRtex
1463,CPLX0-7530,b0241(3),TARTRtex
1464,G6700-MONOMER,b1377(1),TARTRtex
1465,CPLX0-7534,b0929(3),TARTRtex
1466,FPPSYN-MONOMER,b0421(1),DMATT
1467,CPLX0-7630,b0494(4),LPLIPAL1G140pp
1468,EG12134-MONOMER,b0813(1),THRt2pp
1469,RHTC-MONOMER,b3823(1),THRt2pp
1470,CPLX0-7533,b2215(3),3GMPtex
1471,G6700-MONOMER,b1377(1),3GMPtex
1472,CPLX0-7530,b0241(3),3GMPtex
